,30d_slope,60d_slope,90d_slope
ORCL,0.00133937303708118,-0.0002698137880331802,0.0021470279800486166
WFC,0.00012965170111477813,-0.0009248356469520989,-0.0009271594213617843
GS,0.001269998963952034,0.002085107443736275,0.0016893689646197143
LRCX,-0.0023856863675557212,-0.006121761686025226,-0.0017009931455599764
GE,0.001304260757541063,0.0012338717687859677,0.0004931154697292101
NOW,0.0022473226672950737,0.002553486099260639,0.001961652710740151
MCD,0.004473603542641553,0.002465132547338364,0.0006224150217955328
CSCO,0.0032787213330952684,0.0014171884790196755,0.0005317559407700456
BKNG,0.002709736605088154,-0.0014496822866291944,9.932384462527533e-05
ABBV,0.0031336847444275178,0.0036402153198021674,0.0027671024433877497
PEP,0.0007789685574774201,0.001351831687314664,-0.00012374980396495988
ACN,0.0018471556882436332,0.0027424187207818777,0.0015356006734207517
CAT,0.0012916915450519968,0.0011173521652291071,4.08002151434632e-06
PYPL,0.008098028121186276,0.0032589284492650756,0.0006400316465804761
MRVL,0.005841696937797942,-0.0013245798337570703,-0.0007017760027971952
C,-0.00027365133213671383,-0.00022492780820682943,-0.00013604372269337294
TMO,0.0006614299709995814,0.002060311684087669,0.0005871627674451716
CMG,0.0020394419433349526,-0.0038826906519012203,-0.0027396847123267423
LIN,0.0023356271045939228,0.0013493628953735698,0.0009400160586073445
INTU,0.00028986971352619933,0.0006050764741722885,0.00034979277434816645
KO,0.002941630481175639,0.0026249935141614274,0.0017275819412839886
CMCSA,0.00012621414466201236,0.0011233902577886088,0.0004488131061633916
TMUS,0.004817311772557005,0.0025025700389836583,0.0024131508324862425
IBM,0.002932134975136092,0.0032734825742605526,0.0024724368111007887
AMGN,-2.1547476227359243e-05,0.0015103393963120033,0.001582399665919168
VZ,0.0015936926703309653,0.0006661384092017154,0.0006773251956111998
NEE,0.002785432702878746,0.0021097803496130697,0.0010921238164084098
CVS,-0.0014344440855288542,-0.0004976194293283582,0.00013162242643489593
LULU,0.002081249290911846,-0.0044690430379449855,-0.004290917440693849
BMY,0.0017442435979269427,0.004296753867231282,0.001916247613095382
RTX,0.0029772294390472617,0.003535448562140548,0.0018633129158151175
ADI,0.0016162105778710929,-0.0010919735225032457,0.0006534019869116997
ANET,0.0029911070141611477,0.00038849009543634553,0.0023820264181123848
SHOP,0.010712235448616818,0.0020354967110310994,0.0011110409422781325
DHR,-0.000806513352811748,0.001557730757096977,0.0007428334478281727
VRT,0.0025748147004454026,-0.004005478143163444,-0.003490294544611926
MS,0.00082664824783869,0.0007428014262311923,0.0007766099423378297
AXP,0.0024621818341232058,0.0019317504462953471,0.0008038985778236009
KLAC,0.0024522420974392527,-0.001296098549737824,0.0010137999437137021
ABNB,-0.00731402210849949,-0.00585472559550608,-0.003400400767654088
GM,0.005198647186644499,-0.0005712274406051382,0.0003148827350071073
F,0.0008925507812729543,-0.003249696518355153,-0.0014539733483350042
ETN,0.0009445825777597195,-0.002077158038330411,-0.0015606200666512702
COP,0.0013870575101416452,-0.0003241231447306157,-0.0012526191185456383
ABT,0.0026273203629980394,0.0017790269545949193,0.0008759019746498193
T,0.0018706131627337435,0.002094724801174809,0.002170041425608969
TGT,0.003708902964661286,0.00044066684619452074,-0.0007363832422802674
ISRG,0.004227443854823687,0.0023718937985466003,0.002876124796357498
GME,-0.0016112092925160534,-0.0038226228378989034,0.0018197734566396436
FCX,7.95061114720927e-05,-0.003248927433219724,-0.0026286816508792232
UPS,0.0006397565991088687,-0.0015252405677049358,-0.0016495534233038286
MELI,0.008778878114719776,0.004690688651792267,0.0024080282932256894
SQ,0.00383854936145848,-7.054015809075637e-05,-0.0013405721103264146
SNPS,-0.0014159588650668646,-0.003374874740518871,-0.0008653730515960659
HUM,-0.002550911555627846,-0.00031449031903952376,0.001221633854654094
DE,0.0019977131391278953,0.00011895995238041772,-0.0007965549545299129
HON,0.0004934792617668909,-0.0011241259518468788,0.0003058442079567368
LOW,0.0017022185401204479,0.0022922228642013394,0.0010969565114237242
TJX,0.00284432224318566,0.0012202226350016858,0.0023203729556392464
NXPI,-6.7057200838602e-05,-0.002434963302703319,-0.0008489620590402595
